,home_team_goal,away_team_goal,odds-home,odds-draw,odds-away,home-wins,home-draws,home-losses,home-goals,home-opposition-goals,home-shots,home-shots_on_target,home-possession,home-opposition_shots,home-opposition_shots_on_target,home-opposition_possession,away-wins,away-draws,away-losses,away-goals,away-opposition-goals,away-shots,away-shots_on_target,away-possession,away-opposition_shots,away-opposition_shots_on_target,away-opposition_possession
1639,1,3,1.73,3.6,4.75,6,2,2,26,13,141,79,562,105,56,348,7,2,1,19,4,137,70,490,72,33,417
1640,0,3,8.5,5.0,1.33,2,1,7,7,18,107,48,441,100,42,468,9,1,0,30,5,127,67,625,46,28,285
1641,2,2,2.1,3.4,3.4,4,1,5,10,12,95,48,464,103,51,445,3,2,5,12,15,91,44,492,71,37,417
1642,0,0,7.5,4.5,1.4,3,2,5,8,21,79,33,412,82,46,497,8,1,1,20,8,167,84,543,79,40,366
1643,3,1,3.4,3.3,2.2,3,4,3,15,18,111,47,412,136,67,498,5,2,3,14,10,135,77,479,111,46,431
1644,1,1,1.5,4.0,7.5,5,2,3,19,11,149,87,478,114,61,432,4,3,3,12,8,118,68,473,124,55,436
1645,2,2,3.1,3.4,2.25,3,2,5,13,22,91,51,477,103,55,431,6,2,2,20,13,114,55,475,82,48,434
1646,0,2,2.5,3.3,2.75,3,2,5,9,13,83,33,464,128,53,446,2,0,8,16,22,109,55,433,106,52,477
1647,2,1,2.5,3.0,3.0,0,2,8,5,17,129,52,397,97,58,513,3,2,5,9,11,137,61,430,106,54,480
1648,2,2,1.53,3.8,6.5,6,0,4,18,15,117,65,476,128,58,433,4,2,4,15,19,114,49,464,128,59,446
1649,0,2,3.8,3.3,2.0,2,2,6,5,14,117,45,428,113,49,482,8,0,2,24,14,137,75,513,123,54,396
1650,0,7,2.3,3.2,3.2,4,2,4,15,14,147,68,481,129,57,429,5,1,4,15,15,117,55,435,107,50,475
1651,1,0,2.38,3.0,3.2,1,0,9,7,18,116,48,420,114,51,490,4,3,3,12,10,129,72,472,124,58,438
1652,1,2,2.3,3.3,3.1,4,1,5,12,14,122,55,449,98,40,461,6,3,1,17,11,115,59,533,97,42,377
1653,2,2,2.8,3.25,2.5,2,4,4,8,16,82,38,384,109,56,526,5,1,4,15,12,124,68,489,81,33,420
1654,1,1,1.91,3.4,4.2,4,0,6,9,11,125,54,408,107,56,501,0,3,7,9,23,164,86,450,92,43,459
1655,3,1,1.85,3.4,4.33,0,3,7,9,23,71,29,392,101,43,518,1,3,6,11,25,89,39,415,142,72,494
1656,2,1,2.2,3.2,3.6,4,3,3,16,11,176,77,503,82,42,407,7,2,1,23,8,129,58,481,108,47,429
1657,1,2,2.1,3.3,3.5,4,0,6,9,16,101,57,433,134,73,477,2,1,7,7,18,107,48,424,100,41,485
1658,0,1,5.5,4.0,1.57,7,3,0,19,10,111,57,546,96,36,364,9,1,0,30,5,120,63,628,52,31,282
1659,1,1,2.7,3.25,2.6,5,1,4,17,15,111,45,464,121,64,446,4,2,4,12,12,94,47,460,96,44,449
1660,1,0,1.5,4.0,7.0,5,2,3,17,13,123,68,476,85,36,433,2,2,6,9,16,62,29,397,135,60,511
1661,1,1,2.38,3.25,3.0,1,2,7,10,26,81,33,390,143,68,519,2,4,4,9,17,83,39,386,111,61,524
1662,7,0,1.14,7.5,17.0,7,2,1,17,7,172,93,544,80,39,365,1,3,6,10,21,79,31,411,96,38,499
1663,1,0,1.33,5.0,9.0,7,2,1,20,5,136,72,474,76,35,433,5,3,2,15,9,108,59,400,121,59,510
1664,1,2,4.0,3.3,1.95,2,3,5,9,16,87,49,389,123,56,520,5,1,4,19,17,111,61,481,129,57,428
1665,0,0,1.44,4.33,7.5,7,3,0,23,8,141,78,505,74,38,404,3,1,6,12,17,122,58,417,128,59,493
1666,3,0,2.25,3.3,3.25,4,3,3,17,18,118,56,419,140,73,491,4,1,5,10,11,105,45,405,118,67,505
1667,1,2,2.6,3.2,2.8,3,5,2,15,10,116,50,481,121,64,429,4,3,3,17,16,119,64,480,142,75,430
1668,1,0,1.36,4.75,9.0,5,3,2,19,10,125,67,469,121,63,441,1,5,4,12,20,92,44,439,143,70,469
1669,3,2,1.73,3.6,5.0,4,4,2,12,6,107,61,463,125,54,446,3,1,6,12,18,92,51,425,136,69,485
1670,1,3,2.38,3.2,3.1,3,4,3,9,16,105,40,430,154,67,480,0,4,6,9,22,172,96,447,91,42,462
1671,3,2,2.25,3.4,3.2,3,2,5,9,13,125,56,444,131,64,465,3,4,3,15,17,111,56,452,143,70,458
1672,3,0,1.57,4.0,5.5,5,3,2,19,13,115,57,480,87,51,429,3,4,3,12,13,77,35,441,142,82,469
1673,3,1,5.0,3.75,1.67,4,1,5,11,17,63,27,413,123,66,497,6,1,3,26,15,140,79,565,102,53,345
1674,1,2,2.7,3.2,2.6,3,1,6,9,18,102,42,411,98,39,498,7,2,1,16,8,109,52,533,104,43,377
1675,1,0,1.1,9.0,21.0,9,1,0,26,4,123,64,630,53,28,280,0,4,6,6,16,87,45,375,137,67,535
1676,3,1,2.1,3.4,3.4,3,3,4,11,13,94,45,462,106,45,447,5,2,3,15,12,130,71,472,89,39,437
1677,3,1,2.8,3.2,2.6,5,2,3,15,12,137,80,470,117,54,440,6,2,2,22,10,126,56,477,122,52,433
1678,3,3,3.0,3.3,2.38,4,1,5,12,14,86,36,448,133,68,462,6,2,2,13,9,140,71,457,139,79,453
1679,2,4,1.91,3.4,4.0,4,2,4,10,12,125,62,515,85,37,394,6,0,4,16,14,100,48,457,131,61,453
1680,1,3,2.38,3.4,2.88,4,2,4,12,13,93,42,390,116,49,519,3,3,4,14,20,91,53,463,105,58,445
1681,5,2,1.4,4.33,8.5,8,0,2,24,13,141,77,514,124,57,395,3,2,5,10,12,132,57,436,111,58,474
1682,2,0,1.95,3.3,4.0,4,3,3,11,9,127,74,485,111,54,425,3,2,5,12,20,136,64,474,135,61,436
1683,2,3,1.75,3.4,5.0,2,2,6,5,15,114,47,405,119,54,505,2,1,7,7,15,97,40,384,163,78,526
1684,1,0,1.29,5.5,10.0,6,1,3,22,11,122,58,447,101,47,463,0,1,9,5,22,83,37,434,128,54,476
1685,2,0,2.4,3.3,2.9,4,1,5,12,11,126,50,447,97,41,463,3,3,4,14,16,93,42,492,69,38,417
1686,1,3,8.0,4.75,1.36,2,5,3,9,12,81,36,380,119,62,530,7,2,1,23,7,178,94,540,80,38,369
1687,1,3,10.0,5.5,1.3,2,1,7,14,23,114,57,429,146,75,481,5,2,3,17,11,183,76,490,82,46,420
1688,1,1,1.53,4.0,6.5,4,3,3,17,16,130,70,481,118,59,429,3,3,4,9,18,104,43,436,143,64,473
1689,4,0,2.4,3.3,2.9,5,3,2,15,9,111,61,387,132,64,523,4,1,5,11,18,66,29,408,120,63,502
1690,1,1,1.67,3.75,5.0,3,3,4,14,19,97,56,458,100,54,451,2,0,8,16,27,104,54,363,122,59,546
1691,1,0,4.75,3.6,1.73,4,4,2,19,14,111,62,452,96,50,458,7,2,1,17,4,142,73,471,78,35,437
1692,2,2,3.6,3.0,2.2,3,0,7,10,17,88,38,388,155,68,522,3,2,5,10,16,108,49,471,104,47,439
1693,4,0,2.9,3.25,2.4,0,4,6,6,16,74,35,355,147,76,555,7,2,1,16,8,101,50,538,100,40,372
1694,2,2,3.25,3.4,2.15,1,2,7,10,26,92,38,398,125,59,511,3,3,4,11,14,100,46,460,103,42,449
1695,2,0,1.14,7.5,17.0,7,2,1,23,6,179,91,556,74,33,353,1,2,7,7,17,66,29,401,139,60,507
1696,0,1,3.25,3.3,2.2,6,0,4,18,15,92,47,441,122,54,469,6,3,1,22,12,107,57,473,83,46,436
1697,1,3,2.88,3.0,2.63,3,3,4,16,21,113,49,450,123,58,460,6,2,2,13,5,89,50,491,105,44,419
1698,1,0,2.05,3.1,4.0,1,2,7,7,17,132,56,392,104,58,518,2,2,6,7,15,111,46,417,112,53,493
1699,2,0,2.38,3.1,3.1,5,1,4,20,18,111,57,499,125,55,410,4,3,3,10,7,109,65,483,109,56,427
1700,0,1,2.7,2.9,2.88,3,5,2,13,9,110,49,388,118,58,522,2,5,3,10,11,115,51,478,122,51,432
1701,1,1,1.2,6.0,15.0,6,3,1,16,4,133,66,526,92,43,384,0,1,9,5,19,81,39,426,125,57,484
1702,1,0,1.91,3.25,4.2,3,2,5,12,16,132,54,424,113,61,486,3,1,6,11,21,124,61,473,134,59,437
1703,1,1,1.6,3.8,5.75,4,2,4,14,15,124,65,472,91,39,438,3,3,4,10,10,75,31,352,104,40,558
1704,1,1,7.5,4.5,1.4,3,3,4,13,15,101,43,479,77,40,430,9,1,0,25,3,123,65,633,54,27,277
1705,2,0,2.0,3.3,3.8,4,0,6,10,15,99,55,444,128,64,466,3,3,4,7,15,81,34,406,91,51,503
1706,2,2,2.3,3.25,2.8,4,2,4,15,16,110,44,451,120,60,459,4,1,5,13,11,130,52,451,101,40,459
1707,0,1,2.25,3.4,3.1,1,1,8,11,25,103,53,369,130,63,540,1,1,8,6,19,102,53,399,138,68,511
1708,1,0,1.36,4.75,9.0,6,1,3,22,12,125,57,475,127,57,435,3,2,5,10,15,126,57,450,126,60,459
1709,0,0,1.57,4.0,6.0,5,3,2,14,11,146,75,460,126,68,450,4,3,3,17,17,121,57,434,128,68,476
1710,0,1,1.83,3.5,4.5,3,4,3,17,16,112,58,461,147,72,449,3,2,5,14,17,90,39,456,138,71,454
1711,2,1,2.0,3.25,4.0,4,3,3,17,16,136,82,484,113,57,426,4,4,2,13,8,117,67,467,117,49,442
1712,2,2,1.8,3.6,4.5,3,1,6,14,19,89,49,420,139,70,490,2,1,7,15,25,118,54,430,143,77,480
1713,2,2,5.0,3.6,1.73,1,4,5,12,21,164,90,441,91,42,467,6,4,0,20,7,148,81,495,70,38,414
1714,4,0,2.2,3.25,3.4,3,1,6,8,14,102,43,400,119,65,510,3,5,2,16,10,116,50,491,118,62,419
1715,2,1,2.1,3.3,3.6,1,4,5,10,19,97,43,447,137,66,461,3,3,4,9,18,98,43,431,151,75,478
1716,1,1,1.4,4.33,8.5,6,2,2,15,5,135,66,466,82,36,442,5,0,5,16,15,92,45,460,118,56,450
1717,1,2,6.5,4.1,1.5,4,2,4,12,14,90,40,398,113,50,511,5,1,4,23,17,128,76,554,104,55,356
1718,1,0,3.5,3.3,2.1,2,1,7,8,22,126,64,476,135,67,434,5,4,1,14,5,143,70,536,94,43,374
1719,1,0,1.73,3.4,5.25,4,2,4,10,9,101,58,473,101,51,437,2,1,7,10,19,90,40,409,152,65,501
1720,1,0,1.95,3.4,3.8,3,1,6,9,17,102,42,411,93,39,498,1,3,6,8,14,71,33,340,136,71,570
1721,2,1,1.13,8.5,17.0,8,2,0,22,4,130,69,632,57,27,278,4,3,3,17,15,113,46,451,114,60,459
1722,1,2,5.25,4.0,1.62,3,3,4,13,16,104,48,454,104,44,455,7,2,1,21,4,189,95,563,71,33,346
1723,0,2,2.63,3.2,2.75,3,2,5,12,15,124,62,428,130,60,482,5,2,3,16,12,133,77,468,116,54,442
1724,2,0,1.62,3.75,6.0,6,2,2,19,9,188,82,501,87,45,409,5,3,2,17,9,126,67,467,113,58,443
1725,2,0,1.75,3.6,4.5,6,3,1,22,12,115,63,486,83,42,423,2,2,6,6,11,83,39,460,133,67,449
1726,1,1,1.95,3.5,3.75,3,0,7,18,20,107,58,418,122,60,492,3,4,3,12,14,78,35,461,129,75,449
1727,2,1,1.57,3.6,6.5,6,2,2,15,6,100,54,502,95,44,408,2,0,8,6,14,112,48,413,111,52,497
1728,2,2,2.45,3.1,3.0,3,5,2,10,9,125,57,489,120,53,421,5,1,4,18,16,109,52,488,114,51,421
1729,0,1,2.25,3.0,3.5,1,2,7,5,15,102,42,411,110,54,499,3,2,5,16,23,106,45,445,115,53,465
1730,2,1,1.44,4.2,8.0,3,2,5,11,17,111,49,466,97,48,444,3,3,4,8,14,96,34,365,164,77,545
1731,1,0,1.25,5.75,11.0,7,1,2,23,13,144,83,522,132,64,387,2,3,5,10,14,91,48,381,125,56,528
1732,0,1,1.95,3.5,3.7,6,2,2,14,11,93,44,546,92,38,364,3,4,3,14,15,105,44,473,79,40,436
1733,0,1,2.3,3.4,3.0,4,2,4,15,11,117,51,450,107,44,460,4,3,3,13,12,120,63,478,92,39,432
1734,2,1,2.0,3.5,3.6,2,5,3,10,14,75,33,363,121,60,547,5,0,5,15,15,99,44,431,147,61,479
1735,0,2,3.4,3.25,2.15,3,3,4,9,16,99,51,384,112,58,526,2,1,7,6,13,84,38,435,131,65,474
1736,0,0,1.25,6.0,11.0,6,4,0,20,7,151,83,503,65,34,406,2,2,6,13,20,106,54,428,128,67,482
1737,2,4,4.5,3.6,1.8,4,3,3,16,16,123,60,430,143,82,480,6,1,3,21,11,139,65,481,126,55,429
1738,2,2,1.83,3.6,4.33,5,3,2,19,15,133,85,478,117,59,432,3,3,4,14,14,113,60,471,141,69,439
1739,4,1,1.95,3.4,4.0,2,5,3,15,14,115,55,496,111,60,414,4,2,4,15,15,87,37,453,141,75,457
1740,2,1,2.5,3.25,2.88,3,3,4,10,17,102,47,428,153,80,481,3,2,5,10,15,132,58,452,126,62,457
1741,2,1,3.0,3.3,2.38,1,5,4,13,20,147,83,422,102,50,486,6,2,2,17,9,132,78,475,114,53,435
1742,1,1,5.5,3.6,1.67,4,1,5,12,12,87,33,398,131,72,512,6,2,2,20,9,187,84,497,80,42,413
1743,0,0,3.0,3.25,2.4,2,4,4,12,19,105,55,450,129,67,458,4,4,2,12,11,161,84,465,126,67,445
1744,0,0,2.5,3.3,2.75,5,3,2,19,13,117,64,457,94,46,453,4,1,5,11,15,121,61,511,87,39,398
1745,3,0,2.8,3.1,2.6,5,4,1,14,5,142,73,540,94,44,370,8,1,1,23,10,144,83,535,125,63,374
1746,3,1,1.45,4.2,6.0,2,3,5,6,14,87,32,369,158,75,541,4,1,5,11,18,103,46,475,103,52,435
1747,2,4,2.8,3.25,2.5,4,3,3,17,14,106,44,450,113,60,460,5,2,3,13,12,103,46,541,98,46,369
1748,0,1,5.5,3.8,1.62,4,3,3,10,10,110,57,467,97,44,443,8,2,0,20,4,135,71,630,61,29,280
1749,5,0,1.5,4.0,7.0,4,3,3,13,11,122,64,454,119,63,456,3,2,5,12,15,103,54,425,133,63,485
1750,3,0,1.53,4.2,6.0,4,4,2,14,9,117,67,467,117,51,442,2,2,6,16,25,106,48,422,153,78,488
1751,1,1,1.8,3.5,4.5,2,5,3,10,14,82,40,475,119,68,435,3,1,6,7,13,105,41,471,130,54,439
1752,1,0,2.38,3.3,2.9,5,3,2,18,9,106,56,383,132,64,527,2,0,8,8,18,125,52,446,84,42,464
1753,4,3,1.75,3.3,5.25,6,2,2,16,7,102,52,503,98,43,407,5,2,3,10,7,99,62,466,97,49,444
1754,4,0,2.3,3.0,3.4,2,1,7,8,17,126,55,402,101,55,508,3,0,7,9,22,122,62,461,136,67,449
1755,0,2,1.95,3.3,4.0,5,2,3,19,16,105,52,492,111,49,417,4,2,4,12,14,113,49,475,87,40,435
1756,0,0,3.25,1.5,7.5,3,4,3,13,10,113,52,387,123,62,523,1,2,7,5,15,103,44,415,107,51,495
