,home_team_goal,away_team_goal,odds-home,odds-draw,odds-away,home-wins,home-draws,home-losses,home-goals,home-opposition-goals,home-shots,home-shots_on_target,home-opposition_shots,home-opposition_shots_on_target,away-wins,away-draws,away-losses,away-goals,away-opposition-goals,away-shots,away-shots_on_target,away-opposition_shots,away-opposition_shots_on_target
6531,0,2,3.5,3.3,2.15,1,0,9,4,19,91,46,137,63,2,4,4,11,14,113,54,117,60
6532,1,0,3.4,3.6,2.1,3,2,5,10,18,96,48,149,75,3,3,4,14,15,134,78,82,43
6533,3,3,3.0,3.2,2.5,3,3,4,8,11,94,50,77,33,6,2,2,21,13,131,76,108,62
6534,2,2,2.8,3.1,2.7,2,2,6,10,19,80,35,114,68,3,4,3,12,13,107,53,133,76
6535,2,1,1.55,4.0,6.5,3,3,4,11,14,132,64,102,57,3,5,2,9,7,110,57,102,49
6536,1,1,2.2,3.25,3.5,1,4,5,9,17,110,50,117,49,3,2,5,17,17,109,55,115,61
6537,0,2,3.5,3.4,2.05,2,4,4,7,13,115,52,111,61,8,1,1,27,13,122,60,111,60
6538,1,1,1.22,5.75,13.0,10,0,0,28,7,140,75,101,39,4,1,5,11,22,111,59,109,52
6539,2,1,1.95,3.8,3.5,6,0,4,20,15,113,60,104,40,4,1,5,16,15,119,59,120,60
6540,2,1,2.5,3.4,2.7,1,2,7,6,19,102,52,140,62,2,2,6,10,19,100,49,131,68
6541,1,1,2.2,3.6,3.1,2,5,3,18,19,106,51,105,55,3,0,7,14,20,89,41,91,43
6542,6,0,1.06,15.0,26.0,10,0,0,34,7,120,57,95,44,2,1,7,7,18,101,47,98,43
6543,1,0,2.1,3.4,3.5,3,2,5,12,26,101,55,112,58,5,3,2,17,12,100,46,77,32
6544,3,0,1.25,5.5,15.0,7,2,1,17,4,108,47,87,45,0,5,5,7,18,100,49,109,58
6545,0,2,7.5,4.5,1.5,2,2,6,6,21,86,44,105,42,6,2,2,18,9,183,108,93,48
6546,0,9,12.0,6.0,1.25,1,1,8,8,22,103,54,142,79,7,2,1,21,6,95,49,98,49
6547,2,0,1.85,3.25,5.0,4,5,1,13,11,103,54,65,33,2,1,7,10,17,93,39,98,47
6548,2,2,3.2,3.2,2.38,5,2,3,15,13,96,49,100,46,6,1,3,22,8,136,71,75,39
6549,2,0,1.36,5.0,8.5,7,2,1,17,5,126,55,86,39,5,2,3,11,9,80,37,91,46
